City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,288.21,67,40,8.75,CL,1667520588
1,cidreira,-30.1811,-50.2056,288.42,79,0,3.21,BR,1667520589
2,provideniya,64.3833,-173.3,265.08,70,99,2.3,RU,1667520589
3,vostok,46.4856,135.8833,266.27,60,100,3.79,RU,1667520583
4,puerto ayora,-0.7393,-90.3518,292.97,80,77,5.04,EC,1667520590
5,busselton,-33.65,115.3333,289.49,78,16,5.06,AU,1667520590
6,ekhabi,53.5102,142.9671,273.93,56,68,3.75,RU,1667520590
7,north bend,43.4065,-124.2243,283.24,91,100,3.09,US,1667520591
8,leningradskiy,69.3833,178.4167,256.28,95,100,4.14,RU,1667520591
9,namatanai,-3.6667,152.4333,303.3,65,40,0.18,PG,1667520592
10,vaini,-21.2,-175.2,301.24,74,40,4.63,TO,1667520592
11,bontang,0.1333,117.5,299.63,85,100,2.35,ID,1667520592
12,kruisfontein,-34.0033,24.7314,291.42,90,56,4.4,ZA,1667520593
13,stokmarknes,68.5646,14.9108,277.14,87,40,2.57,NO,1667520593
14,mataura,-46.1927,168.8643,285.35,76,85,5.23,NZ,1667520593
15,chico,39.7285,-121.8375,289.64,29,0,5.14,US,1667520319
16,cayenne,4.9333,-52.3333,298.17,94,40,0.0,GF,1667520594
17,saskylakh,71.9167,114.0833,262.64,96,100,1.74,RU,1667520594
18,tuktoyaktuk,69.4541,-133.0374,257.92,90,100,4.61,CA,1667520595
19,dikson,73.5069,80.5464,266.86,91,100,2.58,RU,1667520595
20,vraca,43.8422,18.3955,283.05,82,29,2.45,BA,1667520595
21,sur,22.5667,59.5289,298.11,48,0,4.43,OM,1667520596
22,avarua,-21.2078,-159.775,298.18,69,75,6.69,CK,1667520596
23,airai,-8.9266,125.4092,294.47,72,99,0.86,TL,1667520596
24,pulheim,51.0,6.8,284.84,83,100,0.89,DE,1667520597
25,katsuura,35.1333,140.3,294.49,53,100,9.18,JP,1667520556
26,manono,-7.3,27.4167,293.03,95,97,0.02,CD,1667520597
27,kahului,20.8947,-156.47,306.16,59,40,11.32,US,1667520598
28,hermanus,-34.4187,19.2345,291.93,95,100,6.18,ZA,1667520598
29,ribeira grande,38.5167,-28.7,293.02,97,12,3.58,PT,1667520599
30,qaanaaq,77.484,-69.3632,259.9,53,32,4.06,GL,1667520599
31,mayo,38.8876,-76.5119,289.92,86,75,0.0,US,1667520599
32,aklavik,68.2191,-135.0107,258.23,92,100,5.2,CA,1667520600
33,iracoubo,5.4802,-53.2011,298.67,90,67,3.33,GF,1667520600
34,guerrero negro,27.9769,-114.0611,292.02,61,12,10.89,MX,1667520601
35,waingapu,-9.6567,120.2641,302.07,65,99,1.78,ID,1667520601
36,warwick,41.7001,-71.4162,287.53,79,0,4.12,US,1667520601
37,tuatapere,-46.1333,167.6833,285.79,64,84,7.15,NZ,1667520602
38,havelock,34.8791,-76.9013,293.13,89,0,4.63,US,1667520371
39,arraial do cabo,-22.9661,-42.0278,293.14,62,100,5.99,BR,1667520602
40,upernavik,72.7868,-56.1549,268.81,55,97,4.43,GL,1667520603
41,amahai,-3.3333,128.9167,302.32,70,100,1.17,ID,1667520603
42,thompson,55.7435,-97.8558,265.24,86,100,5.66,CA,1667520553
43,new norfolk,-42.7826,147.0587,289.77,49,27,1.34,AU,1667520604
44,port keats,-14.25,129.55,304.51,52,62,2.99,AU,1667520508
45,albany,42.6001,-73.9662,288.51,66,0,1.6,US,1667520605
46,olinda,-8.0089,-34.8553,300.0,74,75,2.57,BR,1667520606
47,hithadhoo,-0.6,73.0833,300.19,77,68,5.77,MV,1667520606
48,tefe,-3.3542,-64.7114,297.57,76,99,1.01,BR,1667520607
49,jamestown,42.097,-79.2353,288.95,75,0,3.6,US,1667520327
50,andenes,69.3143,16.1194,280.33,87,75,3.6,NO,1667520608
51,fort nelson,58.8053,-122.7002,263.7,93,56,1.01,CA,1667520423
52,kaitangata,-46.2817,169.8464,286.74,64,62,6.59,NZ,1667520609
